Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components,PFam Description,PFam ID
CNAG_02768,72,Cryptococcus neoformans var. grubii H99,"CP003822.1:812,760..813,780(-)",hypothetical protein,protein coding gene,CNAG_02768,IPR006913;IPR011057,Glutathione-dependent formaldehyde-activating enzyme/centromere protein V;Mss4-like superfamily,177,534,hypothetical protein,N/A,N/A,N/A,N/A,carbon-sulfur lyase activity;metal ion binding,N/A,Glutathione-dependent formaldehyde-activating enzyme/centromere protein V,PF04828
CNAG_01252,73,Cryptococcus neoformans var. grubii H99,"CP003824.1:795,213..797,024(-)",thiosulfate/3-mercaptopyruvate sulfurtransferase,protein coding gene,CNAG_01252,IPR001763;IPR036873,Rhodanese-like domain;Rhodanese-like domain superfamily,340,1023,thiosulfate/3-mercaptopyruvate sulfurtransferase,N/A,N/A,N/A,N/A,transferase activity,N/A,Rhodanese-like domain,PF00581
CNAG_07944,74,Cryptococcus neoformans var. grubii H99,"CP003832.1:716,400..721,136(-)",Urea carboxylase,protein coding gene,CNAG_07944,IPR000089;IPR003778;IPR003833;IPR005479;IPR005481;IPR005482;IPR011053;IPR011054;IPR016185;IPR029000,"Biotin/lipoyl attachment;Carboxyltransferase domain, subdomain A and B;Carboxyltransferase domain, subdomain C and D;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;Biotin carboxylase-like, N-terminal domain;Biotin carboxylase, C-terminal;Single hybrid motif;Rudiment single hybrid motif;Pre-ATP-grasp domain superfamily;Cyclophilin-like domain superfamily",1204,3615,Urea carboxylase,N/A,N/A,N/A,N/A,ATP binding;hydrolase activity;ligase activity;metal ion binding,N/A,"Biotin carboxylase-like, N-terminal domain;Biotin/lipoyl attachment;Carboxyltransferase domain, subdomain A and B;Carboxyltransferase domain, subdomain C and D;Biotin carboxylase, C-terminal;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",PF00289;PF00364;PF02626;PF02682;PF02785;PF02786
CNAG_03566,75,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,294,700..1,296,342(+)",hypothetical protein,protein coding gene,CNAG_03566,IPR039965,Uncharacterized protein C3H7.08c,134,405,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_03058,76,Cryptococcus neoformans var. grubii H99,"CP003822.1:98,697..99,469(+)",hypothetical protein,protein coding gene,CNAG_03058,N/A,N/A,114,345,hypothetical protein,N/A,N/A,extracellular vesicle,N/A,N/A,N/A,N/A,N/A
CNAG_06999,77,Cryptococcus neoformans var. grubii H99,"CP003828.1:1,152,482..1,154,665(+)",hypothetical protein,protein coding gene,CNAG_06999,IPR029058,Alpha/Beta hydrolase fold,382,1149,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03142,78,Cryptococcus neoformans var. grubii H99,"CP003827.1:172,802..173,767(-)",hypothetical protein,protein coding gene,CNAG_03142,N/A,N/A,137,414,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06551,79,Cryptococcus neoformans var. grubii H99,"CP003826.1:91,600..94,833(-)",Carnitine O-acetyltransferase,protein coding gene,CNAG_06551,IPR000542;IPR039551,Acyltransferase ChoActase/COT/CPT;Choline/carnitine acyltransferase domain,778,2337,Carnitine O-acetyltransferase,N/A,N/A,N/A,N/A,acyltransferase activity,N/A,Choline/carnitine acyltransferase domain,PF00755
CNAG_05381,80,Cryptococcus neoformans var. grubii H99,"CP003833.2:149,493..151,998(-)","myo-inositol transporter, putative",protein coding gene,CNAG_05381,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",590,1773,"myo-inositol transporter, putative",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_00531,81,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,354,652..1,358,644(-)","potassium/sodium efflux P-type ATPase, fungal- type",protein coding gene,CNAG_00531,IPR001757;IPR004014;IPR006068;IPR008250;IPR018303;IPR023298;IPR023299;IPR036412,"P-type ATPase;Cation-transporting P-type ATPase, N-terminal;Cation-transporting P-type ATPase, C-terminal;P-type ATPase, A domain superfamily;P-type ATPase, phosphorylation site;P-type ATPase, transmembrane domain superfamily;P-type ATPase, cytoplasmic domain N;HAD-like superfamily",1091,3276,"potassium/sodium efflux P-type ATPase, fungal- type",cellular response to dithiothreitol;cellular response to hydrogen peroxide;hyperosmotic response;response to alkaline pH;response to antibiotic;response to lithium ion;response to sodium dodecyl sulfate,N/A,N/A,N/A,ATP binding;nucleotide binding,integral component of membrane,"Cation-transporting P-type ATPase, C-terminal;Cation-transporting P-type ATPase, N-terminal",PF00122;PF00689;PF00690;PF00702;PF13246
CNAG_07755,82,Cryptococcus neoformans var. grubii H99,"CP003828.1:18,204..20,364(+)","hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2",protein coding gene,CNAG_07755,N/A,N/A,83,252,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02933,83,Cryptococcus neoformans var. grubii H99,"CP003822.1:414,032..415,676(-)",quinone oxidoreductase,protein coding gene,CNAG_02933,IPR002364;IPR011032;IPR013154;IPR020843;IPR036291,"Quinone oxidoreductase/zeta-crystallin, conserved site;GroES-like superfamily;Alcohol dehydrogenase, N-terminal;Polyketide synthase, enoylreductase domain;NAD(P)-binding domain superfamily",350,1053,quinone oxidoreductase,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity;zinc ion binding,N/A,"Alcohol dehydrogenase, N-terminal",PF08240;PF13602
CNAG_05229,84,Cryptococcus neoformans var. grubii H99,"CP003823.1:785,277..787,233(-)",Stomatin family protein,protein coding gene,CNAG_05229,IPR001107;IPR001972;IPR036013;IPR043202,Band 7 domain;Stomatin/HflK/HflC family;Band 7/SPFH domain superfamily;Band-7 stomatin-like,379,1140,Stomatin family protein,N/A,N/A,N/A,N/A,N/A,membrane;plasma membrane,Band 7 domain,PF01145
CNAG_05736,85,Cryptococcus neoformans var. grubii H99,"CP003826.1:731,252..732,761(-)",hypothetical protein,protein coding gene,CNAG_05736,N/A,N/A,307,924,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00932,86,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,598,930..1,600,234(+)",hypothetical protein,protein coding gene,CNAG_00932,IPR016040;IPR036291,NAD(P)-binding domain;NAD(P)-binding domain superfamily,241,726,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,NAD(P)-binding domain,PF13460
CNAG_02591,87,Cryptococcus neoformans var. grubii H99,"CP003822.1:1,283,214..1,283,958(+)",hypothetical protein,protein coding gene,CNAG_02591,IPR021331,"Hypervirulence associated protein, TUDOR domain",75,228,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,"Hypervirulence associated protein, TUDOR domain",PF11160
CNAG_00871,88,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,766,706..1,770,301(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_00871,IPR004827,Basic-leucine zipper domain,493,1482,hypothetical protein,capsule organization;negative regulation of capsule organization;response to tert-butyl hydroperoxide,N/A,N/A,"regulation of transcription, DNA-templated",DNA-binding transcription factor activity,N/A,Basic-leucine zipper domain,PF00170
CNAG_06602,89,Cryptococcus neoformans var. grubii H99,"CP003826.1:242,383..243,693(+)",cysteine-type peptidase,protein coding gene,CNAG_06602,IPR029062;IPR032633,Class I glutamine amidotransferase-like;ThiJ/PfpI family-like,252,759,cysteine-type peptidase,N/A,N/A,N/A,N/A,N/A,N/A,ThiJ/PfpI family-like,PF17124
CNAG_01995,90,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,486,712..1,487,944(+)",hypothetical protein,protein coding gene,CNAG_01995,N/A,N/A,225,678,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03666,91,Cryptococcus neoformans var. grubii H99,"CP003821.1:482,236..484,857(-)",acyl-CoA dehydrogenase,protein coding gene,CNAG_03666,IPR001199;IPR006089;IPR006091;IPR009075;IPR009100;IPR013786;IPR036250;IPR036400,"Cytochrome b5-like heme/steroid binding domain;Acyl-CoA dehydrogenase, conserved site;Acyl-CoA oxidase/dehydrogenase, central domain;Acyl-CoA dehydrogenase/oxidase C-terminal;Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily;Acyl-CoA dehydrogenase/oxidase, N-terminal;Acyl-CoA dehydrogenase-like, C-terminal;Cytochrome b5-like heme/steroid binding domain superfamily",522,1569,acyl-CoA dehydrogenase,N/A,N/A,N/A,obsolete oxidation-reduction process,"acyl-CoA dehydrogenase activity;flavin adenine dinucleotide binding;oxidoreductase activity, acting on the CH-CH group of donors",N/A,"Cytochrome b5-like heme/steroid binding domain;Acyl-CoA dehydrogenase/oxidase C-terminal;Acyl-CoA oxidase/dehydrogenase, central domain;Acyl-CoA dehydrogenase/oxidase, N-terminal",PF00173;PF00441;PF02770;PF02771
CNAG_06220,92,Cryptococcus neoformans var. grubii H99,"CP003831.1:660,487..661,862(-)",allergen,protein coding gene,CNAG_06220,N/A,N/A,240,723,allergen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02045,93,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,343,434..1,346,391(-)",acetoacetate-CoA ligase,protein coding gene,CNAG_02045,IPR000873;IPR005914;IPR020845,"AMP-dependent synthetase/ligase;Acetoacetyl-CoA synthase;AMP-binding, conserved site",696,2091,acetoacetate-CoA ligase,N/A,N/A,N/A,lipid metabolic process,acetoacetate-CoA ligase activity;catalytic activity,N/A,AMP-dependent synthetase/ligase,PF00501
CNAG_04879,94,Cryptococcus neoformans var. grubii H99,"CP003829.1:122,535..128,607(+)",Glycogen debranching enzyme,protein coding gene,CNAG_04879,IPR008928;IPR010401;IPR017853;IPR029436;IPR032788;IPR032790;IPR032792,"Six-hairpin glycosidase superfamily;Glycogen debranching enzyme;Glycoside hydrolase superfamily;Eukaryotic glycogen debranching enzyme, N-terminal domain;Glycogen debranching enzyme, central domain;Glycogen debranching enzyme, C-terminal;Glycogen debranching enzyme, glucanotransferase domain",1593,4782,Glycogen debranching enzyme,N/A,N/A,N/A,glycogen catabolic process,"4-alpha-glucanotransferase activity;amylo-alpha-1,6-glucosidase activity;catalytic activity",cytoplasm,"Glycogen debranching enzyme, C-terminal;Eukaryotic glycogen debranching enzyme, N-terminal domain;Glycogen debranching enzyme, glucanotransferase domain;Glycogen debranching enzyme, central domain",PF06202;PF14699;PF14701;PF14702
CNAG_01047,95,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,352,477..1,353,823(+)",hypothetical protein,protein coding gene,CNAG_01047,N/A,N/A,125,378,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06105,96,Cryptococcus neoformans var. grubii H99,"CP003831.1:322,686..326,574(-)",hypothetical protein,protein coding gene,CNAG_06105,N/A,N/A,1037,3114,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01341,97,Cryptococcus neoformans var. grubii H99,"CP003824.1:550,532..551,569(+)","mannose-6-phosphate isomerase, variant, mannose-6-phosphate isomerase",protein coding gene,CNAG_01341,IPR011051;IPR013096,"RmlC-like cupin domain superfamily;Cupin 2, conserved barrel",177,534,"mannose-6-phosphate isomerase, variant",N/A,N/A,N/A,N/A,isomerase activity,N/A,"Cupin 2, conserved barrel",PF07883
CNAG_05138,98,Cryptococcus neoformans var. grubii H99,"CP003823.1:525,057..529,291(-)","glucan 1,3-beta-glucosidase",protein coding gene,CNAG_05138,IPR001547;IPR017853,"Glycoside hydrolase, family 5;Glycoside hydrolase superfamily",829,2490,"glucan 1,3-beta-glucosidase",cellular response to heat,N/A,N/A,carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",integral component of membrane,"Glycoside hydrolase, family 5",PF00150
CNAG_00052,99,Cryptococcus neoformans var. grubii H99,"CP003820.1:154,270..154,990(+)",hypothetical protein,protein coding gene,CNAG_00052,N/A,N/A,94,285,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_01417,100,Cryptococcus neoformans var. grubii H99,"CP003824.1:363,450..364,681(+)",hypothetical protein,protein coding gene,CNAG_01417,IPR012336;IPR036249,Thioredoxin-like fold;Thioredoxin-like superfamily,213,642,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,Thioredoxin-like fold,PF13462
CNAG_01936,101,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,309,768..1,313,049(-)",Sugar transporter,protein coding gene,CNAG_01936,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",545,1638,Sugar transporter,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_00844,102,Cryptococcus neoformans var. grubii H99,"CP003820.1:2,235,224..2,237,966(+)",hypothetical protein,protein coding gene,CNAG_00844,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,527,1584,hypothetical protein,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_00537,103,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,368,529..1,371,048(+)",Carnitine O-acetyltransferase,protein coding gene,CNAG_00537,IPR000542;IPR039551,Acyltransferase ChoActase/COT/CPT;Choline/carnitine acyltransferase domain,630,1893,Carnitine O-acetyltransferase,N/A,N/A,N/A,N/A,acyltransferase activity,N/A,Choline/carnitine acyltransferase domain,PF00755
CNAG_00057,104,Cryptococcus neoformans var. grubii H99,"CP003820.1:161,616..163,256(-)","fructose-1,6-bisphosphatase I",protein coding gene,CNAG_00057,IPR000146;IPR020548;IPR028343;IPR033391,"Fructose-1,6-bisphosphatase class 1;Fructose-1,6-bisphosphatase, active site;Fructose-1,6-bisphosphatase;Fructose-1-6-bisphosphatase class I, N-terminal",350,1053,"fructose-1,6-bisphosphatase I",regulation of urease activity,N/A,N/A,carbohydrate metabolic process,"fructose 1,6-bisphosphate 1-phosphatase activity;metal ion binding;phosphatase activity;phosphoric ester hydrolase activity",N/A,"Fructose-1-6-bisphosphatase class I, N-terminal",PF00316;PF18913
CNAG_07728,105,Cryptococcus neoformans var. grubii H99,"CP003827.1:847,527..848,074(+)","solute carrier family 39 (zinc transporter), member 1/2/3",protein coding gene,CNAG_07728,N/A,N/A,113,342,"solute carrier family 39 (zinc transporter), member 1/2/3",N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_02041,106,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,354,926..1,357,335(+)",hypothetical protein,protein coding gene,CNAG_02041,N/A,N/A,356,1071,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02335,107,Cryptococcus neoformans var. grubii H99,"CP003825.1:579,399..582,037(-)",hypothetical protein,protein coding gene,CNAG_02335,IPR002791;IPR036075;IPR039763,Domain of unknown function DUF89;AF1104-like superfamily;Protein-glutamate O-methyltransferase,507,1524,hypothetical protein,N/A,N/A,N/A,N/A,hydrolase activity;metal ion binding;protein carboxyl O-methyltransferase activity,N/A,Domain of unknown function DUF89,PF01937
CNAG_05168,108,Cryptococcus neoformans var. grubii H99,"CP003823.1:609,374..611,699(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_05168,IPR008397;IPR008929,Alginate lyase domain;Chondroitin AC/alginate lyase,211,636,hypothetical protein,N/A,N/A,N/A,N/A,lyase activity,periplasmic space,Alginate lyase domain,PF05426
CNAG_05915,109,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,206,237..1,209,084(-)",hypothetical protein,protein coding gene,CNAG_05915,N/A,N/A,631,1896,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_06823,110,Cryptococcus neoformans var. grubii H99,"CP003824.1:153,619..154,566(+)",hypothetical protein,protein coding gene,CNAG_06823,N/A,N/A,261,786,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04582,111,Cryptococcus neoformans var. grubii H99,"CP003829.1:973,486..975,329(-)",hypothetical protein,protein coding gene,CNAG_04582,N/A,N/A,429,1290,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00539,112,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,371,805..1,374,646(-)",membrane transporter,protein coding gene,CNAG_00539,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,595,1788,membrane transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_02070,113,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,279,201..1,281,526(+)",hypothetical protein,protein coding gene,CNAG_02070,N/A,N/A,172,519,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06576,114,Cryptococcus neoformans var. grubii H99,"CP003826.1:170,010..171,877(-)",cAMP-regulated gene 1,protein coding gene,CNAG_06576,N/A,N/A,234,705,cAMP-regulated gene 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01751,115,Cryptococcus neoformans var. grubii H99,"CP003830.1:792,223..793,256(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_01751,N/A,N/A,100,303,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_00123,116,Cryptococcus neoformans var. grubii H99,"CP003820.1:328,815..330,256(-)",hypothetical protein,protein coding gene,CNAG_00123,IPR008927;IPR015814;IPR036291,"6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily;Phosphogluconate dehydrogenase, NAD-binding, putative, C-terminal;NAD(P)-binding domain superfamily",303,912,hypothetical protein,N/A,N/A,N/A,obsolete oxidation-reduction process,N/A,N/A,"Phosphogluconate dehydrogenase, NAD-binding, putative, C-terminal",PF09130
CNAG_03874,117,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,060,297..1,063,388(+)",oxidoreductase,protein coding gene,CNAG_03874,IPR023753;IPR036188,FAD/NAD(P)-binding domain;FAD/NAD(P)-binding domain superfamily,495,1488,oxidoreductase,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,N/A,FAD/NAD(P)-binding domain,PF07992
CNAG_05002,118,Cryptococcus neoformans var. grubii H99,"CP003823.1:195,173..197,331(-)",hypothetical protein,protein coding gene,CNAG_05002,N/A,N/A,578,1737,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03713,119,Cryptococcus neoformans var. grubii H99,"CP003821.1:599,963..602,991(-)","efflux protein EncT, efflux protein EncT, variant",protein coding gene,CNAG_03713,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,529,1590,"efflux protein EncT, variant",filamentous growth,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_01348,120,Cryptococcus neoformans var. grubii H99,"CP003824.1:533,819..536,140(-)","cyanate hydratase, variant, cyanate hydratase",protein coding gene,CNAG_01348,IPR003712;IPR008076;IPR010982;IPR036581,"Cyanate lyase, C-terminal;Cyanate hydratase;Lambda repressor-like, DNA-binding domain superfamily;Cyanate lyase, C-terminal domain superfamily",183,552,"cyanate hydratase, variant",N/A,N/A,N/A,cyanate metabolic process,DNA binding;cyanate hydratase activity,N/A,"Cyanate lyase, C-terminal",PF02560
CNAG_03495,121,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,106,109..1,107,415(+)",hypothetical protein,protein coding gene,CNAG_03495,IPR001202;IPR036020,WW domain;WW domain superfamily,314,945,hypothetical protein,N/A,N/A,N/A,N/A,protein binding,N/A,WW domain,PF00397
CNAG_02839,122,Cryptococcus neoformans var. grubii H99,"CP003822.1:643,021..645,122(+)",hypothetical protein,protein coding gene,CNAG_02839,IPR023753;IPR036188,FAD/NAD(P)-binding domain;FAD/NAD(P)-binding domain superfamily,435,1308,hypothetical protein,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,N/A,FAD/NAD(P)-binding domain,PF07992
CNAG_06759,123,Cryptococcus neoformans var. grubii H99,"CP003821.1:117,342..119,677(+)",dehydrogenase,protein coding gene,CNAG_06759,IPR011032;IPR013149;IPR013154;IPR020843;IPR036291,"GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;Polyketide synthase, enoylreductase domain;NAD(P)-binding domain superfamily",364,1095,dehydrogenase,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,N/A,"Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal",PF00107;PF08240
CNAG_00889,124,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,717,546..1,720,282(+)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_00889,N/A,N/A,591,1776,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_04993,125,Cryptococcus neoformans var. grubii H99,"CP003823.1:175,180..179,253(+)",hypothetical protein,protein coding gene,CNAG_04993,IPR024361;IPR029018;IPR031924;IPR041437,"Bacteroidetes-Associated Carbohydrate-binding Often N-terminal;Beta-hexosaminidase-like, domain 2;Glycosyl hydrolase family 115;Gylcosyl hydrolase 115 C-terminal domain",1076,3231,hypothetical protein,N/A,N/A,N/A,N/A,hydrolase activity,N/A,Glycosyl hydrolase family 115;Gylcosyl hydrolase 115 C-terminal domain,PF15979;PF17829
CNAG_03498,126,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,111,156..1,114,391(-)","metalloreductase, metalloreductase, variant 2, metalloreductase, variant 1",protein coding gene,CNAG_03498,IPR013112;IPR013121;IPR013130;IPR017938;IPR039261,"FAD-binding 8;Ferric reductase, NAD binding domain;Ferric reductase transmembrane component-like domain;Riboflavin synthase-like beta-barrel;Ferredoxin-NADP reductase (FNR), nucleotide-binding domain",715,2148,"metalloreductase, variant 2",N/A,N/A,N/A,ion transport;obsolete oxidation-reduction process,oxidoreductase activity,integral component of membrane,"Ferric reductase transmembrane component-like domain;FAD-binding 8;Ferric reductase, NAD binding domain",PF01794;PF08022;PF08030
CNAG_04098,127,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,613,288..1,619,648(+)","ATP-binding cassette, subfamily G (WHITE), member 2, PDR",protein coding gene,CNAG_04098,IPR003439;IPR003593;IPR010929;IPR013525;IPR017871;IPR027417;IPR029481;IPR034001;IPR034003,"ABC transporter-like;AAA+ ATPase domain;CDR ABC transporter;ABC-2 type transporter;ABC transporter, conserved site;P-loop containing nucleoside triphosphate hydrolase;ABC-transporter N-terminal domain;ATP-binding cassette transporter, PDR-like subfamily G, domain 1;ATP-binding cassette transporter, PDR-like subfamily G, domain 2",1536,4611,"ATP-binding cassette, subfamily G (WHITE), member 2, PDR",N/A,N/A,N/A,transmembrane transport,ATP binding;ATP hydrolysis activity;ATPase-coupled transmembrane transporter activity,integral component of membrane;membrane,ABC transporter-like;ABC-2 type transporter;CDR ABC transporter;ABC-transporter N-terminal domain,PF00005;PF01061;PF06422;PF14510
CNAG_02295,128,Cryptococcus neoformans var. grubii H99,"CP003825.1:677,347..679,080(-)",phosphotransferase enzyme family protein,protein coding gene,CNAG_02295,IPR002575;IPR011009;IPR041726,"Aminoglycoside phosphotransferase;Protein kinase-like domain superfamily;Acyl-CoA dehydrogenase family member 10/11, N-terminal",428,1287,phosphotransferase enzyme family protein,N/A,N/A,N/A,N/A,transferase activity,N/A,Aminoglycoside phosphotransferase,PF01636
CNAG_00349,129,Cryptococcus neoformans var. grubii H99,"CP003820.1:893,768..895,412(+)",hypothetical protein,protein coding gene,CNAG_00349,N/A,N/A,358,1077,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02734,130,Cryptococcus neoformans var. grubii H99,"CP003822.1:879,406..880,170(-)",hypothetical protein,protein coding gene,CNAG_02734,IPR036291,NAD(P)-binding domain superfamily,105,318,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04093,131,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,601,566..1,604,626(-)",putative transcription factor,protein coding gene,CNAG_04093,IPR001138;IPR007219;IPR036864,"Zn(2)-C6 fungal-type DNA-binding domain;Transcription factor domain, fungi;Zn(2)-C6 fungal-type DNA-binding domain superfamily",698,2097,putative transcription factor,response to tert-butyl hydroperoxide,N/A,N/A,"regulation of transcription, DNA-templated;transcription, DNA-templated","DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;zinc ion binding",host cell nucleus;nucleus,"Zn(2)-C6 fungal-type DNA-binding domain;Transcription factor domain, fungi",PF00172;PF04082
CNAG_00827,132,Cryptococcus neoformans var. grubii H99,"CP003820.1:2,194,712..2,196,000(+)",ribose 5-phosphate isomerase,protein coding gene,CNAG_00827,IPR003500;IPR011860;IPR036569,"Sugar-phosphate isomerase, RpiB/LacA/LacB family;Ribose 5-phosphate isomerase B, Actinobacteria-type;Sugar-phosphate isomerase, RpiB/LacA/LacB superfamily",169,510,ribose 5-phosphate isomerase,N/A,N/A,N/A,carbohydrate metabolic process,isomerase activity,N/A,"Sugar-phosphate isomerase, RpiB/LacA/LacB family",PF02502
CNAG_05916,133,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,209,102..1,210,628(+)",hypothetical protein,protein coding gene,CNAG_05916,N/A,N/A,331,996,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05326,134,Cryptococcus neoformans var. grubii H99,"CP003823.1:1,061,591..1,063,107(+)",hypothetical protein,protein coding gene,CNAG_05326,N/A,N/A,296,891,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06905,135,Cryptococcus neoformans var. grubii H99,"CP003822.1:1,480,996..1,482,325(+)",cytoplasmic protein,protein coding gene,CNAG_06905,IPR002925;IPR029058,Dienelactone hydrolase;Alpha/Beta hydrolase fold,287,864,cytoplasmic protein,N/A,N/A,N/A,N/A,hydrolase activity,N/A,Dienelactone hydrolase,PF01738
CNAG_05721,136,Cryptococcus neoformans var. grubii H99,"CP003826.1:693,845..697,712(+)",multifunctional beta-oxidation protein,protein coding gene,CNAG_05721,IPR002347;IPR002539;IPR020904;IPR029069;IPR036291,"Short-chain dehydrogenase/reductase SDR;MaoC-like dehydratase domain;Short-chain dehydrogenase/reductase, conserved site;HotDog domain superfamily;NAD(P)-binding domain superfamily",907,2724,multifunctional beta-oxidation protein,N/A,N/A,N/A,fatty acid beta-oxidation,oxidoreductase activity,peroxisome,Short-chain dehydrogenase/reductase SDR;MaoC-like dehydratase domain,PF00106;PF01575
