gene	geneName	log2FC_30	padj_30	log2FC_37	padj_37	log2FC_EGTA	padj_EGTA	total	Gene ID	Input Order	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	Interpro ID	Interpro Description	Protein Length	CDS Length	Transcript Product Description	Curated GO Processes	Curated GO Functions	Curated GO Components	Computed GO Processes	Computed GO Functions	Computed GO Components	PFam Description	PFam ID	Gene Name or Symbol
CNAG_06027	NA	-4.103	1.674e-15	-2.606	3.308e-8	-2.555	2.263e-4	-9.264	CNAG_06027	9	Cryptococcus neoformans var. grubii H99	"CP003831.1:112,960..115,305(-)"	aryl-alcohol dehydrogenase	protein coding gene	CNAG_06027	IPR023210;IPR036812	NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily	400	1203	aryl-alcohol dehydrogenase	N/A	N/A	N/A	N/A	N/A	N/A	NADP-dependent oxidoreductase domain	PF00248	N/A
CNAG_00664	NA	-3.007	2.1e-4	-3.082	4.739e-7	-3.075	1.218e-5	-9.164	CNAG_00664	10	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,723,137..1,725,823(+)"	hypothetical protein	protein coding gene	CNAG_00664	N/A	N/A	765	2298	hypothetical protein	N/A	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	N/A
CNAG_05299	NA	-3.674	8.197e-8	-2.199	1.875e-7	-3.267	8.078e-16	-9.14	CNAG_05299	11	Cryptococcus neoformans var. grubii H99	"CP003823.1:976,775..978,068(-)"	oxidoreductase	protein coding gene	CNAG_05299	IPR018170;IPR020471;IPR023210;IPR036812	"Aldo/keto reductase, conserved site;Aldo/keto reductase;NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily"	300	903	oxidoreductase	N/A	N/A	N/A	obsolete oxidation-reduction process	oxidoreductase activity	integral component of membrane	NADP-dependent oxidoreductase domain	PF00248	N/A
CNAG_04085	NA	-2.478	2.354e-24	-2.881	1.1009999999999997e-75	-3.748	5.5899999999999975e-136	-9.107	CNAG_04085	12	Cryptococcus neoformans var. grubii H99	"CP003821.1:1,584,624..1,588,402(-)"	"oxidoreductase, variant, oxidoreductase"	protein coding gene	CNAG_04085	IPR006139;IPR006140;IPR029752;IPR036291	"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1;NAD(P)-binding domain superfamily"	435	1308	"oxidoreductase, variant"	N/A	N/A	N/A	obsolete oxidation-reduction process	"NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	N/A	"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain"	PF00389;PF02826	N/A
CNAG_01562	BLP4	-2.812	5.548e-78	-3.101	4.949999999999997e-181	-3.148	3.960999999999999e-80	-9.061	CNAG_01562	13	Cryptococcus neoformans var. grubii H99	"CP003830.1:288,913..291,062(+)"	pr4/barwin domain protein	protein coding gene	CNAG_01562	IPR009009;IPR036908	"RlpA-like protein, double-psi beta-barrel domain;RlpA-like domain superfamily"	321	966	pr4/barwin domain protein	N/A	N/A	extracellular region	N/A	N/A	N/A	"RlpA-like protein, double-psi beta-barrel domain"	PF03330	BLP4
CNAG_05089	NA	-3.388	1.428e-10	-2.732	2.284e-9	-2.933	1.837e-14	-9.053	CNAG_05089	14	Cryptococcus neoformans var. grubii H99	"CP003823.1:411,820..414,068(-)"	"hypothetical protein, variant, hypothetical protein"	protein coding gene	CNAG_05089	N/A	N/A	648	1947	"hypothetical protein, variant"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_00637	NA	-3.675	4.874e-25	-2.34	1.195e-28	-3.022	5.159e-35	-9.037	CNAG_00637	15	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,650,021..1,652,045(+)"	Cystathionine beta-synthase	protein coding gene	CNAG_00637	IPR001216;IPR001926;IPR036052	"Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site;Pyridoxal-phosphate dependent enzyme;Tryptophan synthase beta subunit-like PLP-dependent enzyme"	398	1197	Cystathionine beta-synthase	N/A	N/A	N/A	cysteine biosynthetic process from serine	N/A	N/A	Pyridoxal-phosphate dependent enzyme	PF00291	N/A
CNAG_01585	NA	-3.994	5.014e-48	-1.921	1.924e-27	-3.116	6.056999999999998e-62	-9.031	CNAG_01585	16	Cryptococcus neoformans var. grubii H99	"CP003830.1:358,724..359,659(+)"	hypothetical protein	protein coding gene	CNAG_01585	N/A	N/A	113	342	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_05676	NA	-2.803	1.9509999999999998e-34	-3.366	2.3419999999999995e-80	-2.805	9.509000000000002e-72	-8.974	CNAG_05676	17	Cryptococcus neoformans var. grubii H99	"CP003826.1:586,245..588,684(-)"	"tyrosine aminotransferase, tyrosine aminotransferase, variant"	protein coding gene	CNAG_05676	IPR004839;IPR005958;IPR015424	"Aminotransferase, class I/classII;Tyrosine/nicotianamine aminotransferase;Pyridoxal phosphate-dependent transferase"	445	1338	tyrosine aminotransferase	N/A	N/A	N/A	biosynthetic process;cellular amino acid metabolic process	catalytic activity;pyridoxal phosphate binding;transaminase activity	N/A	"Aminotransferase, class I/classII"	PF00155	N/A
CNAG_05377	ITR3	-3.268	2.512e-7	-3.23	2.622e-14	-2.47	4.281e-18	-8.968	CNAG_05377	18	Cryptococcus neoformans var. grubii H99	"CP003833.2:137,967..140,909(-)"	"myo-inositol transporter, putative"	protein coding gene	CNAG_05377	IPR003663;IPR005828;IPR005829;IPR036259	"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily"	590	1773	"myo-inositol transporter, putative"	N/A	N/A	N/A	transmembrane transport	transmembrane transporter activity	integral component of membrane;membrane	"Major facilitator,  sugar transporter-like"	PF00083	ITR3
CNAG_03199	NA	-2.194	0.006161	-3.469	0.001463	-3.257	1.688e-6	-8.92	CNAG_03199	19	Cryptococcus neoformans var. grubii H99	"CP003827.1:319,487..321,580(-)"	FAD dependent oxidoreductase	protein coding gene	CNAG_03199	IPR006076;IPR036188	FAD dependent oxidoreductase;FAD/NAD(P)-binding domain superfamily	374	1125	FAD dependent oxidoreductase	N/A	N/A	N/A	obsolete oxidation-reduction process	oxidoreductase activity	N/A	FAD dependent oxidoreductase	PF01266	N/A
CNAG_01506	NA	-3.389	6.769999999999998e-29	-3.802	5.209e-50	-1.679	5.855e-8	-8.87	CNAG_01506	20	Cryptococcus neoformans var. grubii H99	"CP003830.1:134,511..136,841(-)"	hypothetical protein	protein coding gene	CNAG_01506	N/A	N/A	317	954	hypothetical protein	cellular response to heat;cellular response to salt stress	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_01131	NA	-3.34	7.104999999999999e-70	-3.047	2.7339999999999987e-144	-2.438	1.1009999999999999e-55	-8.825	CNAG_01131	21	Cryptococcus neoformans var. grubii H99	"CP003824.1:1,119,168..1,120,856(-)"	hypothetical protein	protein coding gene	CNAG_01131	N/A	N/A	65	198	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_06453	NA	-4.188	2.6579999999999994e-103	-2.103	3.0029999999999984e-88	-2.409	1.065e-66	-8.7	CNAG_06453	22	Cryptococcus neoformans var. grubii H99	"CP003832.1:522,275..523,671(-)"	benzodiazapine receptor	protein coding gene	CNAG_06453	IPR004307	TspO/MBR-related protein	178	537	benzodiazapine receptor	N/A	N/A	N/A	N/A	N/A	integral component of membrane	TspO/MBR-related protein	PF03073	N/A
CNAG_02735	NA	-2.83	5.207e-14	-3.421	4.221e-40	-2.413	2.166e-16	-8.664	CNAG_02735	23	Cryptococcus neoformans var. grubii H99	"CP003822.1:877,971..879,464(+)"	hypothetical protein	protein coding gene	CNAG_02735	N/A	N/A	269	810	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_06800	NA	-3.023	5.384e-45	-2.206	4.260999999999999e-62	-3.368	6.594999999999999e-122	-8.597	CNAG_06800	24	Cryptococcus neoformans var. grubii H99	"CP003821.1:5,237..6,137(+)"	hypothetical protein	protein coding gene	CNAG_06800	N/A	N/A	92	279	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_01081	NA	-3.476	3.253999999999999e-34	-2.354	3.613e-20	-2.745	7.391e-24	-8.575	CNAG_01081	25	Cryptococcus neoformans var. grubii H99	"CP003824.1:1,255,367..1,256,996(-)"	hypothetical protein	protein coding gene	CNAG_01081	IPR036291	NAD(P)-binding domain superfamily	313	942	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_00870	NA	-2.701	5.072e-26	-2.378	1.4039999999999996e-53	-3.395	4.572999999999999e-89	-8.474	CNAG_00870	26	Cryptococcus neoformans var. grubii H99	"CP003824.1:1,771,160..1,773,380(-)"	"hypothetical protein, variant 1, hypothetical protein, hypothetical protein, variant 2"	protein coding gene	CNAG_00870	N/A	N/A	195	588	"hypothetical protein, variant 2"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_07512	NA	-2.751	5.251e-26	-2.606	6.093e-43	-3.098	1.1269999999999996e-92	-8.455	CNAG_07512	27	Cryptococcus neoformans var. grubii H99	"CP003822.1:374,191..376,979(-)"	hypothetical protein	protein coding gene	CNAG_07512	N/A	N/A	680	2043	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_05994	NA	-2.176	2.24e-9	-1.625	5.337e-11	-4.633	2.622999999999999e-152	-8.434	CNAG_05994	28	Cryptococcus neoformans var. grubii H99	"CP003831.1:31,240..34,315(+)"	multidrug transporter	protein coding gene	CNAG_05994	IPR011701;IPR036259	Major facilitator superfamily;MFS transporter superfamily	561	1686	multidrug transporter	N/A	N/A	N/A	transmembrane transport	transmembrane transporter activity	integral component of membrane	Major facilitator superfamily	PF07690	N/A
CNAG_01955	NA	-4.441	1.112e-9	-2.688	4.549e-8	-1.244	0.02528	-8.373	CNAG_01955	29	Cryptococcus neoformans var. grubii H99	"CP003830.1:1,358,706..1,360,155(+)"	Alcohol dehydrogenase	protein coding gene	CNAG_01955	IPR011032;IPR013149;IPR013154;IPR036291	"GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily"	367	1104	Alcohol dehydrogenase	N/A	N/A	N/A	obsolete oxidation-reduction process	N/A	N/A	"Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal"	PF00107;PF08240	N/A
CNAG_06346	BLP1	-2.914	2.374e-18	-2.829	7.528e-36	-2.599	7.841e-24	-8.342	CNAG_06346	30	Cryptococcus neoformans var. grubii H99	"CP003832.1:254,852..256,235(-)"	Barwin-like protein 1	protein coding gene	CNAG_06346	IPR001153;IPR036908	Barwin domain;RlpA-like domain superfamily	138	417	Barwin-like protein 1	N/A	N/A	N/A	defense response to bacterium;defense response to fungus	N/A	N/A	Barwin domain	PF00967	BLP1
CNAG_07641	NA	-2.759	2.386e-5	-2.332	1.909e-8	-3.191	3.664e-21	-8.282	CNAG_07641	31	Cryptococcus neoformans var. grubii H99	"CP003825.1:724,822..727,380(-)"	Monosaccharide transporter	protein coding gene	CNAG_07641	IPR003663;IPR005828;IPR005829;IPR036259	"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily"	590	1773	Monosaccharide transporter	N/A	N/A	N/A	transmembrane transport	transmembrane transporter activity	integral component of membrane;membrane	"Major facilitator,  sugar transporter-like"	PF00083	N/A
CNAG_00653	NA	-3.879	1.055e-30	-2.906	4.114e-35	-1.453	2.623e-9	-8.238	CNAG_00653	32	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,700,232..1,704,503(+)"	"hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2"	protein coding gene	CNAG_00653	N/A	N/A	937	2814	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_03007	NA	-4.401	6.888999999999995e-198	-2.22	1.2599999999999998e-78	-1.549	1.351e-25	-8.17	CNAG_03007	33	Cryptococcus neoformans var. grubii H99	"CP003822.1:224,773..225,984(-)"	hypothetical protein	protein coding gene	CNAG_03007	IPR022234	Protein of unknown function DUF3759	111	336	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	Protein of unknown function DUF3759	PF12585	N/A
CNAG_06507	NA	-3.25	2.407e-40	-2.685	3.671999999999999e-68	-2.186	6.605e-36	-8.121	CNAG_06507	34	Cryptococcus neoformans var. grubii H99	"CP003832.1:698,252..699,893(-)"	hypothetical protein	protein coding gene	CNAG_06507	IPR036249;IPR036282	"Thioredoxin-like superfamily;Glutathione S-transferase, C-terminal domain superfamily"	218	657	hypothetical protein	N/A	N/A	N/A	N/A	protein binding	N/A	N/A	PF13410	N/A
CNAG_03566	NA	-2.978	2.507e-38	-1.691	9.922999999999997e-42	-3.445	2.122999999999999e-155	-8.114	CNAG_03566	35	Cryptococcus neoformans var. grubii H99	"CP003827.1:1,294,700..1,296,342(+)"	hypothetical protein	protein coding gene	CNAG_03566	IPR039965	Uncharacterized protein C3H7.08c	134	405	hypothetical protein	N/A	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	N/A
CNAG_03002	NA	-3.682	1.602e-17	-1.212	1.896e-9	-3.187	5.958999999999999e-53	-8.081	CNAG_03002	36	Cryptococcus neoformans var. grubii H99	"CP003822.1:234,102..234,969(+)"	hypothetical protein	protein coding gene	CNAG_03002	N/A	N/A	164	495	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_07538	NA	-3.108	5.409000000000002e-57	-2.484	3.4589999999999993e-106	-2.478	4.739e-56	-8.07	CNAG_07538	37	Cryptococcus neoformans var. grubii H99	"CP003822.1:1,138,448..1,141,561(-)"	calcium/proton exchanger	protein coding gene	CNAG_07538	IPR004837	Sodium/calcium exchanger membrane region	687	2064	calcium/proton exchanger	N/A	N/A	N/A	transmembrane transport	N/A	integral component of membrane	Sodium/calcium exchanger membrane region	PF01699	N/A
CNAG_03230	NA	-2.887	2.754e-28	-3.064	7.671e-10	-2.057	1.363e-40	-8.008	CNAG_03230	38	Cryptococcus neoformans var. grubii H99	"CP003827.1:397,422..398,981(-)"	"yippee-like, putative"	protein coding gene	CNAG_03230	IPR004910;IPR039058	Yippee/Mis18/Cereblon;Yippee family	96	291	"yippee-like, putative"	filamentous growth	N/A	N/A	N/A	metal ion binding	N/A	Yippee/Mis18/Cereblon	PF03226	N/A
CNAG_03223	NA	-2.733	8.821e-55	-2.991	8.676999999999994e-241	-2.284	3.979e-66	-8.008	CNAG_03223	39	Cryptococcus neoformans var. grubii H99	"CP003827.1:383,400..384,978(-)"	hypothetical protein	protein coding gene	CNAG_03223	IPR018466	Kre9/Knh1 family	221	666	hypothetical protein	cellular response to heat	N/A	extracellular region	N/A	N/A	N/A	Kre9/Knh1 family	PF10342	N/A
CNAG_07939	NA	-2.975	1.84e-39	-1.92	2.979e-32	-3.11	2.8369999999999994e-103	-8.005	CNAG_07939	40	Cryptococcus neoformans var. grubii H99	"CP003832.1:471,456..472,552(-)"	hypothetical protein	protein coding gene	CNAG_07939	N/A	N/A	63	192	hypothetical protein	N/A	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	N/A
CNAG_04681	LPI14	-2.912	3.311e-45	-2.639	1.8159999999999998e-90	-2.326	1.0609999999999998e-61	-7.877	CNAG_04681	41	Cryptococcus neoformans var. grubii H99	"CP003829.1:707,397..710,088(+)"	"transmembrane protein, putative"	protein coding gene	CNAG_04681	N/A	N/A	610	1833	"transmembrane protein, putative"	cellular response to heat	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	LPI14
CNAG_03233	NA	-2.609	6.559e-20	-3.15	1.4199999999999995e-92	-2.058	1.113e-40	-7.817	CNAG_03233	42	Cryptococcus neoformans var. grubii H99	"CP003827.1:404,166..405,465(-)"	"yippee-like, putative"	protein coding gene	CNAG_03233	IPR004910;IPR039058	Yippee/Mis18/Cereblon;Yippee family	134	405	"yippee-like, putative"	filamentous growth	N/A	N/A	N/A	metal ion binding	N/A	Yippee/Mis18/Cereblon	PF03226	N/A
CNAG_02919	NA	-2.597	5.543999999999999e-34	-3.234	4.833999999999999e-109	-1.969	2.189e-33	-7.8	CNAG_02919	43	Cryptococcus neoformans var. grubii H99	"CP003822.1:447,025..449,966(-)"	hypothetical protein	protein coding gene	CNAG_02919	IPR029032	AhpD-like	197	594	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_06285	NA	-3.465	5.915e-48	-2.542	2.729e-49	-1.779	2.96e-20	-7.786	CNAG_06285	44	Cryptococcus neoformans var. grubii H99	"CP003832.1:95,628..96,327(-)"	hypothetical protein	protein coding gene	CNAG_06285	N/A	N/A	159	480	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_01713	NA	-2.955	9.527e-58	-2.311	1.2629999999999998e-64	-2.519	3.623e-59	-7.785	CNAG_01713	45	Cryptococcus neoformans var. grubii H99	"CP003830.1:686,025..686,901(-)"	hypothetical protein	protein coding gene	CNAG_01713	N/A	N/A	153	462	hypothetical protein	N/A	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	N/A
CNAG_00526	NA	-2.706	3.888e-16	-2.386	1.319e-17	-2.641	1.461e-26	-7.733	CNAG_00526	46	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,343,967..1,345,444(-)"	hypothetical protein	protein coding gene	CNAG_00526	N/A	N/A	291	876	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_03922	NA	-3.878	2.273e-52	-2.475	8.921999999999997e-98	-1.361	5.139e-20	-7.714	CNAG_03922	47	Cryptococcus neoformans var. grubii H99	"CP003821.1:1,194,741..1,196,350(+)"	hypothetical protein	protein coding gene	CNAG_03922	IPR008030;IPR036291	NmrA-like domain;NAD(P)-binding domain superfamily	296	891	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	NmrA-like domain	PF05368	N/A
CNAG_03783	NA	-2.157	0.001803	-1.928	2.993e-5	-3.602	1.814e-15	-7.687	CNAG_03783	48	Cryptococcus neoformans var. grubii H99	"CP003821.1:804,640..808,367(+)"	hypothetical protein	protein coding gene	CNAG_03783	IPR029063;IPR041698	S-adenosyl-L-methionine-dependent methyltransferase;Methyltransferase domain 25	425	1278	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	Methyltransferase domain 25	PF13649	N/A
CNAG_05180	NA	-2.293	2.615e-24	-2.684	3.500999999999999e-86	-2.703	2.4069999999999996e-69	-7.68	CNAG_05180	49	Cryptococcus neoformans var. grubii H99	"CP003823.1:647,146..650,357(+)"	hypothetical protein	protein coding gene	CNAG_05180	IPR000253;IPR008984	Forkhead-associated (FHA) domain;SMAD/FHA domain superfamily	817	2454	hypothetical protein	N/A	N/A	N/A	N/A	protein binding	integral component of membrane	Forkhead-associated (FHA) domain	PF00498	N/A
CNAG_04016	ISP5	-3.414	8.418e-30	-2.483	3.082e-26	-1.774	3.239e-14	-7.671	CNAG_04016	50	Cryptococcus neoformans var. grubii H99	"CP003821.1:1,406,038..1,408,137(+)"	Identified spore protein 5	protein coding gene	CNAG_04016	IPR009078	Ferritin-like superfamily	298	897	Identified spore protein 5	cellular response to heat	N/A	N/A	N/A	N/A	N/A	N/A	PF13668	ISP5
CNAG_07755	NA	-2.412	9.434e-5	-2.013	1.213e-6	-3.199	5.441e-26	-7.624	CNAG_07755	51	Cryptococcus neoformans var. grubii H99	"CP003828.1:18,204..20,364(+)"	"hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2"	protein coding gene	CNAG_07755	N/A	N/A	83	252	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_06578	NA	-3.499	2.839999999999999e-129	-1.912	4.811999999999999e-103	-2.176	5.5929999999999985e-67	-7.587	CNAG_06578	52	Cryptococcus neoformans var. grubii H99	"CP003826.1:175,249..176,457(+)"	hypothetical protein	protein coding gene	CNAG_06578	N/A	N/A	187	564	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_02978	NA	-2.221	1.087e-13	-2.056	1.159e-17	-3.282	7.143e-35	-7.559	CNAG_02978	53	Cryptococcus neoformans var. grubii H99	"CP003822.1:292,610..293,689(-)"	hypothetical protein	protein coding gene	CNAG_02978	IPR005349	TMEM14 family	112	339	hypothetical protein	N/A	N/A	N/A	N/A	N/A	integral component of membrane;membrane	TMEM14 family	PF03647	N/A
CNAG_01252	NA	-2.052	2.283e-6	-1.564	7.325e-4	-3.934	1.7210000000000002e-25	-7.55	CNAG_01252	54	Cryptococcus neoformans var. grubii H99	"CP003824.1:795,213..797,024(-)"	thiosulfate/3-mercaptopyruvate sulfurtransferase	protein coding gene	CNAG_01252	IPR001763;IPR036873	Rhodanese-like domain;Rhodanese-like domain superfamily	340	1023	thiosulfate/3-mercaptopyruvate sulfurtransferase	N/A	N/A	N/A	N/A	transferase activity	N/A	Rhodanese-like domain	PF00581	N/A
CNAG_06017	NA	-2.993	3.056e-17	-2.261	1.791e-18	-2.265	3.564e-17	-7.519	CNAG_06017	55	Cryptococcus neoformans var. grubii H99	"CP003831.1:87,704..89,242(+)"	hypothetical protein	protein coding gene	CNAG_06017	N/A	N/A	266	801	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_04280	NA	-2.332	8.302e-13	-2.513	4.369e-33	-2.656	1.819e-38	-7.501	CNAG_04280	56	Cryptococcus neoformans var. grubii H99	"CP003828.1:470,015..472,152(-)"	hypothetical protein	protein coding gene	CNAG_04280	IPR040410	UPF0658 Golgi apparatus membrane protein	435	1308	hypothetical protein	N/A	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	N/A
CNAG_02225	EXG104	-2.964	4.016e-18	-2.609	5.612000000000001e-25	-1.926	3.336e-14	-7.499	CNAG_02225	57	Cryptococcus neoformans var. grubii H99	"CP003825.1:863,364..865,759(+)"	"glucan 1,3-beta-glucosidase"	protein coding gene	CNAG_02225	IPR001547;IPR017853	"Glycoside hydrolase, family 5;Glycoside hydrolase superfamily"	431	1296	"glucan 1,3-beta-glucosidase"	N/A	N/A	N/A	carbohydrate metabolic process	"hydrolase activity, hydrolyzing O-glycosyl compounds"	N/A	"Glycoside hydrolase, family 5"	PF00150	EXG104
CNAG_03572	OPS1	-2.774	2.2299999999999998e-23	-1.428	1.619e-14	-3.285	6.480999999999998e-95	-7.487	CNAG_03572	58	Cryptococcus neoformans var. grubii H99	"CP003827.1:1,304,365..1,306,281(+)"	opsin 1	protein coding gene	CNAG_03572	IPR001425	Archaeal/bacterial/fungal rhodopsins	328	987	opsin 1	N/A	N/A	N/A	ion transport	ion channel activity	integral component of membrane;membrane	Archaeal/bacterial/fungal rhodopsins	PF01036	OPS1
CNAG_05356	NA	-1.874	0.00414	-3.085	6.314e-21	-2.497	5.211e-13	-7.456	CNAG_05356	59	Cryptococcus neoformans var. grubii H99	"CP003833.2:79,680..81,635(-)"	hypothetical protein	protein coding gene	CNAG_05356	N/A	N/A	331	996	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_05160	NA	-3.371	1.278e-6	-2.674	2.501e-8	-1.407	0.00666	-7.452	CNAG_05160	60	Cryptococcus neoformans var. grubii H99	"CP003823.1:591,167..591,683(-)"	hypothetical protein	protein coding gene	CNAG_05160	N/A	N/A	57	174	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_04903	NA	-2.684	1.667e-28	-1.224	4.034e-13	-3.539	8.264999999999997e-93	-7.447	CNAG_04903	61	Cryptococcus neoformans var. grubii H99	"CP003829.1:71,514..73,232(+)"	hypothetical protein	protein coding gene	CNAG_04903	N/A	N/A	177	534	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_06291	FPD1	-2.912	2.239e-32	-1.007	2.07e-6	-3.528	1.1409999999999998e-53	-7.447	CNAG_06291	62	Cryptococcus neoformans var. grubii H99	"CP003832.1:108,796..111,047(-)"	polysaccharide deacetylase	protein coding gene	CNAG_06291	IPR002509;IPR011330	"NodB homology domain;Glycoside hydrolase/deacetylase, beta/alpha-barrel"	249	750	polysaccharide deacetylase	N/A	N/A	extracellular region	carbohydrate metabolic process	"catalytic activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	N/A	NodB homology domain	PF01522	FPD1
CNAG_03465	LAC1	-3.637	1.388e-30	-1.985	5.783e-9	-1.802	5.069e-6	-7.424	CNAG_03465	63	Cryptococcus neoformans var. grubii H99	"CP003827.1:1,019,744..1,024,625(+)"	laccase	protein coding gene	CNAG_03465	IPR001117;IPR008972;IPR011706;IPR011707	"Multicopper oxidase, type 1;Cupredoxin;Multicopper oxidase, type 2;Multicopper oxidase, type 3"	624	1875	laccase	melanin biosynthetic process	N/A	N/A	obsolete oxidation-reduction process	copper ion binding;hydroquinone:oxygen oxidoreductase activity;oxidoreductase activity	cell wall;extracellular region	"Multicopper oxidase, type 1;Multicopper oxidase, type 2;Multicopper oxidase, type 3"	PF00394;PF07731;PF07732	LAC1
CNAG_07457	NA	-1.661	0.001258	-2.597	2.82e-10	-3.132	4.507e-16	-7.39	CNAG_07457	64	Cryptococcus neoformans var. grubii H99	"CP003824.1:1,796,197..1,796,998(+)"	hypothetical protein	protein coding gene	CNAG_07457	IPR007138;IPR011008	Antibiotic biosynthesis monooxygenase domain;Dimeric alpha-beta barrel	112	339	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	Antibiotic biosynthesis monooxygenase domain	PF03992	N/A
CNAG_00654	SRX1	-1.92	1.3e-11	-2.82	1.932e-50	-2.649	1.562e-49	-7.389	CNAG_00654	65	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,705,106..1,706,138(+)"	sulfiredoxin	protein coding gene	CNAG_00654	IPR003115;IPR016692;IPR036086	ParB/Sulfiredoxin;Sulfiredoxin;ParB/Sulfiredoxin superfamily	142	429	sulfiredoxin	response to fungicide;response to oxidative stress	N/A	N/A	obsolete oxidation-reduction process	ATP binding;sulfiredoxin activity	N/A	ParB/Sulfiredoxin	PF02195	SRX1
CNAG_07765	NA	-1.463	0.002072	-1.849	5.848e-6	-4.07	2.869e-49	-7.382	CNAG_07765	66	Cryptococcus neoformans var. grubii H99	"CP003828.1:736,458..737,446(+)"	hypothetical protein	protein coding gene	CNAG_07765	IPR038725	"General stress protein, FMN-binding split barrel domain"	198	597	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	"General stress protein, FMN-binding split barrel domain"	PF16242	N/A
