Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components
CNAG_02509,153,Cryptococcus neoformans var. grubii H99,"CP003825.1:133,556..135,507(+)",hypothetical protein,protein coding gene,CNAG_02509,N/A,N/A,377,1134,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_02978,154,Cryptococcus neoformans var. grubii H99,"CP003822.1:292,610..293,689(-)",hypothetical protein,protein coding gene,CNAG_02978,IPR005349,TMEM14 family,112,339,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane;membrane
CNAG_02933,155,Cryptococcus neoformans var. grubii H99,"CP003822.1:414,032..415,676(-)",quinone oxidoreductase,protein coding gene,CNAG_02933,IPR002364;IPR011032;IPR013154;IPR020843;IPR036291,"Quinone oxidoreductase/zeta-crystallin, conserved site;GroES-like superfamily;Alcohol dehydrogenase, N-terminal;Polyketide synthase, enoylreductase domain;NAD(P)-binding domain superfamily",350,1053,quinone oxidoreductase,N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity;zinc ion binding,N/A
CNAG_05158,156,Cryptococcus neoformans var. grubii H99,"CP003823.1:585,815..588,709(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_05158,N/A,N/A,833,2502,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03461,157,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,006,849..1,009,289(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_03461,N/A,N/A,137,414,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05304,158,Cryptococcus neoformans var. grubii H99,"CP003823.1:992,402..995,516(+)","hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2",protein coding gene,CNAG_05304,N/A,N/A,347,1044,"hypothetical protein, variant 2",N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_02164,159,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,034,751..1,038,895(+)",hypothetical protein,protein coding gene,CNAG_02164,IPR000433;IPR032350,"Zinc finger, ZZ-type;Next to BRCA1, central domain",1107,3324,hypothetical protein,N/A,N/A,N/A,N/A,zinc ion binding,N/A
CNAG_05458,160,Cryptococcus neoformans var. grubii H99,"CP003833.2:363,578..365,509(-)","endo-1,3(4)-beta-glucanase",protein coding gene,CNAG_05458,IPR013320,Concanavalin A-like lectin/glucanase domain superfamily,368,1107,"endo-1,3(4)-beta-glucanase",N/A,N/A,N/A,carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",N/A
CNAG_05426,161,Cryptococcus neoformans var. grubii H99,"CP003833.2:283,086..284,514(+)",hypothetical protein,protein coding gene,CNAG_05426,N/A,N/A,230,693,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07755,162,Cryptococcus neoformans var. grubii H99,"CP003828.1:18,204..20,364(+)","hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2",protein coding gene,CNAG_07755,N/A,N/A,83,252,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05739,163,Cryptococcus neoformans var. grubii H99,"CP003826.1:738,249..739,801(+)",hypothetical protein,protein coding gene,CNAG_05739,IPR005511;IPR013658,Senescence marker protein-30 (SMP-30);SMP-30/Gluconolactonase/LRE-like region,339,1020,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07444,164,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,321,787..1,323,925(-)",hypothetical protein,protein coding gene,CNAG_07444,N/A,N/A,474,1425,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01076,165,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,264,806..1,266,956(-)",4-aminobutyrate aminotransferase,protein coding gene,CNAG_01076,IPR004631;IPR005814;IPR015424,"4-aminobutyrate aminotransferase, eukaryotic;Aminotransferase class-III;Pyridoxal phosphate-dependent transferase",488,1467,4-aminobutyrate aminotransferase,N/A,N/A,N/A,gamma-aminobutyric acid metabolic process,4-aminobutyrate transaminase activity;4-aminobutyrate:2-oxoglutarate transaminase activity;catalytic activity;pyridoxal phosphate binding;transaminase activity,N/A
CNAG_03193,166,Cryptococcus neoformans var. grubii H99,"CP003827.1:307,143..310,698(-)",hypothetical protein,protein coding gene,CNAG_03193,N/A,N/A,579,1740,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02045,167,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,343,434..1,346,391(-)",acetoacetate-CoA ligase,protein coding gene,CNAG_02045,IPR000873;IPR005914;IPR020845,"AMP-dependent synthetase/ligase;Acetoacetyl-CoA synthase;AMP-binding, conserved site",696,2091,acetoacetate-CoA ligase,N/A,N/A,N/A,lipid metabolic process,acetoacetate-CoA ligase activity;catalytic activity,N/A
CNAG_03465,168,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,019,744..1,024,625(+)",laccase,protein coding gene,CNAG_03465,IPR001117;IPR008972;IPR011706;IPR011707,"Multicopper oxidase, type 1;Cupredoxin;Multicopper oxidase, type 2;Multicopper oxidase, type 3",624,1875,laccase,melanin biosynthetic process,N/A,N/A,obsolete oxidation-reduction process,copper ion binding;hydroquinone:oxygen oxidoreductase activity;oxidoreductase activity,cell wall;extracellular region
CNAG_05939,169,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,266,326..1,268,709(-)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_05939,N/A,N/A,85,258,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02759,170,Cryptococcus neoformans var. grubii H99,"CP003822.1:830,265..831,898(-)",hypothetical protein,protein coding gene,CNAG_02759,N/A,N/A,180,543,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03999,171,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,362,855..1,364,055(-)",hypothetical protein,protein coding gene,CNAG_03999,IPR011051,RmlC-like cupin domain superfamily,167,504,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00490,172,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,254,735..1,257,241(-)",acetyl-CoA acyltransferase,protein coding gene,CNAG_00490,IPR002155;IPR016039;IPR020613;IPR020615;IPR020616;IPR020617,"Thiolase;Thiolase-like;Thiolase, conserved site;Thiolase, acyl-enzyme intermediate active site;Thiolase, N-terminal;Thiolase, C-terminal",415,1248,acetyl-CoA acyltransferase,N/A,N/A,N/A,N/A,"acyltransferase activity, transferring groups other than amino-acyl groups;catalytic activity",N/A
CNAG_02344,173,Cryptococcus neoformans var. grubii H99,"CP003825.1:557,835..559,652(+)",Uracil phosphoribosyltransferase,protein coding gene,CNAG_02344,IPR000836;IPR029057,Phosphoribosyltransferase domain;Phosphoribosyltransferase-like,213,642,Uracil phosphoribosyltransferase,N/A,N/A,N/A,nucleoside metabolic process,glycosyltransferase activity,N/A
CNAG_05015,174,Cryptococcus neoformans var. grubii H99,"CP003823.1:229,871..232,836(+)",catalase 4,protein coding gene,CNAG_05015,IPR002226;IPR010582;IPR011614;IPR018028;IPR020835;IPR024708,"Catalase haem-binding site;Catalase immune-responsive domain;Catalase core domain;Catalase, mono-functional, haem-containing;Catalase superfamily;Catalase active site",701,2106,catalase 4,N/A,N/A,N/A,hydrogen peroxide catabolic process;obsolete oxidation-reduction process;response to oxidative stress,catalase activity;heme binding;metal ion binding,N/A
CNAG_01210,175,Cryptococcus neoformans var. grubii H99,"CP003824.1:909,814..911,003(-)",hypothetical protein,protein coding gene,CNAG_01210,N/A,N/A,117,354,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00546,176,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,396,739..1,402,411(+)",Chitin synthase,protein coding gene,CNAG_00546,IPR001199;IPR004835;IPR014876;IPR029044;IPR036400,"Cytochrome b5-like heme/steroid binding domain;Chitin synthase;DEK, C-terminal;Nucleotide-diphospho-sugar transferases;Cytochrome b5-like heme/steroid binding domain superfamily",1271,3816,Chitin synthase,cellular response to heat,N/A,N/A,N/A,chitin synthase activity;hexosyltransferase activity,integral component of membrane
CNAG_07969,177,Cryptococcus neoformans var. grubii H99,"CP003822.1:930,460..931,520(+)",hypothetical protein,protein coding gene,CNAG_07969,N/A,N/A,309,930,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_04597,178,Cryptococcus neoformans var. grubii H99,"CP003829.1:929,313..932,037(-)",hypothetical protein,protein coding gene,CNAG_04597,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,551,1656,hypothetical protein,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane
CNAG_03783,179,Cryptococcus neoformans var. grubii H99,"CP003821.1:804,640..808,367(+)",hypothetical protein,protein coding gene,CNAG_03783,IPR029063;IPR041698,S-adenosyl-L-methionine-dependent methyltransferase;Methyltransferase domain 25,425,1278,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_06541,180,Cryptococcus neoformans var. grubii H99,"CP003826.1:58,125..61,395(-)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_06541,IPR013057,"Amino acid transporter, transmembrane domain",462,1389,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_01585,181,Cryptococcus neoformans var. grubii H99,"CP003830.1:358,724..359,659(+)",hypothetical protein,protein coding gene,CNAG_01585,N/A,N/A,113,342,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00242,182,Cryptococcus neoformans var. grubii H99,"CP003820.1:637,547..639,551(-)",hypothetical protein,protein coding gene,CNAG_00242,N/A,N/A,186,561,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07939,183,Cryptococcus neoformans var. grubii H99,"CP003832.1:471,456..472,552(-)",hypothetical protein,protein coding gene,CNAG_07939,N/A,N/A,63,192,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_06259,184,Cryptococcus neoformans var. grubii H99,"CP003832.1:12,288..15,010(+)","MFS transporter, SP family, general alpha glucoside:H symporter",protein coding gene,CNAG_06259,IPR003663;IPR005828;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;MFS transporter superfamily",550,1653,"MFS transporter, SP family, general alpha glucoside:H symporter",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_00036,185,Cryptococcus neoformans var. grubii H99,"CP003820.1:108,777..110,347(-)",SEC14 cytosolic factor,protein coding gene,CNAG_00036,IPR001251;IPR011074;IPR036273;IPR036865,"CRAL-TRIO lipid binding domain;CRAL/TRIO, N-terminal domain;CRAL/TRIO, N-terminal domain superfamily;CRAL-TRIO lipid binding domain superfamily",289,870,SEC14 cytosolic factor,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02214,186,Cryptococcus neoformans var. grubii H99,"CP003825.1:900,520..901,876(+)",ubiquitin-conjugating enzyme E2 J1,protein coding gene,CNAG_02214,IPR000608;IPR016135;IPR018527,"Ubiquitin-conjugating enzyme E2;Ubiquitin-conjugating enzyme/RWD-like;Rubredoxin, iron-binding site",294,885,ubiquitin-conjugating enzyme E2 J1,N/A,N/A,N/A,N/A,metal ion binding,N/A
CNAG_07802,187,Cryptococcus neoformans var. grubii H99,"CP003823.1:181,532..183,681(-)",class III aminotransferase,protein coding gene,CNAG_07802,IPR005814;IPR015424,Aminotransferase class-III;Pyridoxal phosphate-dependent transferase,501,1506,class III aminotransferase,N/A,N/A,N/A,N/A,catalytic activity;pyridoxal phosphate binding;transaminase activity,N/A
CNAG_06578,188,Cryptococcus neoformans var. grubii H99,"CP003826.1:175,249..176,457(+)",hypothetical protein,protein coding gene,CNAG_06578,N/A,N/A,187,564,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03980,189,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,324,228..1,325,526(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_03980,N/A,N/A,245,738,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06310,190,Cryptococcus neoformans var. grubii H99,"CP003832.1:150,271..156,698(+)","CAMK/CAMKL protein kinase, variant 2, CAMK/CAMKL protein kinase, variant 1, CAMK/CAMKL protein kinase",protein coding gene,CNAG_06310,IPR000719;IPR008271;IPR011009;IPR017441,"Protein kinase domain;Serine/threonine-protein kinase, active site;Protein kinase-like domain superfamily;Protein kinase, ATP binding site",1390,4173,CAMK/CAMKL protein kinase,cellular response to tert-butyl hydroperoxide,N/A,N/A,protein phosphorylation,ATP binding;protein kinase activity,N/A
CNAG_07334,191,Cryptococcus neoformans var. grubii H99,"CP003820.1:580,183..582,875(-)",ferric-chelate reductase,protein coding gene,CNAG_07334,IPR000778;IPR013112;IPR013121;IPR013130;IPR039261,"Cytochrome b245, heavy chain;FAD-binding 8;Ferric reductase, NAD binding domain;Ferric reductase transmembrane component-like domain;Ferredoxin-NADP reductase (FNR), nucleotide-binding domain",656,1971,ferric-chelate reductase,N/A,N/A,N/A,ion transport;obsolete oxidation-reduction process,oxidoreductase activity,integral component of membrane;membrane
CNAG_05258,192,Cryptococcus neoformans var. grubii H99,"CP003823.1:862,908..864,968(+)",glucose-methanol-choline oxidoreductase,protein coding gene,CNAG_05258,IPR000172;IPR007867;IPR012132;IPR036188,"Glucose-methanol-choline oxidoreductase, N-terminal;Glucose-methanol-choline oxidoreductase, C-terminal;Glucose-methanol-choline oxidoreductase;FAD/NAD(P)-binding domain superfamily",588,1767,glucose-methanol-choline oxidoreductase,N/A,N/A,N/A,obsolete oxidation-reduction process,"flavin adenine dinucleotide binding;oxidoreductase activity, acting on CH-OH group of donors",N/A
CNAG_01048,193,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,345,875..1,351,913(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_01048,IPR000504;IPR035979,RNA recognition motif domain;RNA-binding domain superfamily,1296,3891,"hypothetical protein, variant",N/A,N/A,N/A,N/A,RNA binding;nucleic acid binding,N/A
CNAG_04413,194,Cryptococcus neoformans var. grubii H99,"CP003828.1:786,853..788,787(+)",hypothetical protein,protein coding gene,CNAG_04413,N/A,N/A,374,1125,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_06907,195,Cryptococcus neoformans var. grubii H99,"CP003822.1:1,485,567..1,487,352(+)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_06907,N/A,N/A,216,651,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_02775,196,Cryptococcus neoformans var. grubii H99,"CP003822.1:792,791..794,067(-)",BCS-inducible membrane protein,protein coding gene,CNAG_02775,N/A,N/A,218,657,BCS-inducible membrane protein,cellular response to copper ion starvation;copper ion import,N/A,cell surface;extracellular region,N/A,metal ion binding;monooxygenase activity,anchored component of membrane;plasma membrane
CNAG_01075,197,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,267,131..1,269,609(+)",methylmalonate-semialdehyde dehydrogenase (acylating),protein coding gene,CNAG_01075,IPR010061;IPR015590;IPR016160;IPR016161,"Methylmalonate-semialdehyde dehydrogenase;Aldehyde dehydrogenase domain;Aldehyde dehydrogenase, cysteine active site;Aldehyde/histidinol dehydrogenase",531,1596,methylmalonate-semialdehyde dehydrogenase (acylating),N/A,N/A,N/A,obsolete oxidation-reduction process,"methylmalonate-semialdehyde dehydrogenase (acylating) activity;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",N/A
CNAG_00679,198,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,764,478..1,765,668(+)",hypothetical protein,protein coding gene,CNAG_00679,N/A,N/A,114,345,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07765,199,Cryptococcus neoformans var. grubii H99,"CP003828.1:736,458..737,446(+)",hypothetical protein,protein coding gene,CNAG_07765,IPR038725,"General stress protein, FMN-binding split barrel domain",198,597,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02192,200,Cryptococcus neoformans var. grubii H99,"CP003825.1:946,741..948,461(-)",hypothetical protein,protein coding gene,CNAG_02192,N/A,N/A,285,858,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03114,201,Cryptococcus neoformans var. grubii H99,"CP003827.1:83,492..84,607(+)",hypothetical protein,protein coding gene,CNAG_03114,N/A,N/A,119,360,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01244,202,Cryptococcus neoformans var. grubii H99,"CP003824.1:821,019..823,077(+)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_01244,N/A,N/A,499,1500,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06493,203,Cryptococcus neoformans var. grubii H99,"CP003832.1:664,003..665,206(-)",hypothetical protein,protein coding gene,CNAG_06493,N/A,N/A,232,699,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06050,204,Cryptococcus neoformans var. grubii H99,"CP003831.1:174,227..176,764(-)","UDP-glucose 4-epimerase, UDP-glucose 4-epimerase, variant",protein coding gene,CNAG_06050,IPR005886;IPR016040;IPR036291,UDP-glucose 4-epimerase;NAD(P)-binding domain;NAD(P)-binding domain superfamily,399,1200,"UDP-glucose 4-epimerase, variant",carbon utilization,N/A,N/A,galactose metabolic process,UDP-glucose 4-epimerase activity,N/A
CNAG_03958,205,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,276,268..1,277,505(-)",hypothetical protein,protein coding gene,CNAG_03958,IPR006993;IPR036249,"SH3-binding, glutamic acid-rich protein;Thioredoxin-like superfamily",270,813,hypothetical protein,N/A,N/A,N/A,N/A,electron transfer activity;protein-disulfide reductase activity,N/A
CNAG_06051,206,Cryptococcus neoformans var. grubii H99,"CP003831.1:176,913..179,139(+)",galactokinase,protein coding gene,CNAG_06051,IPR000705;IPR006203;IPR006204;IPR006206;IPR013750;IPR019539;IPR020568;IPR036554,"Galactokinase;GHMP kinase, ATP-binding, conserved site;GHMP kinase N-terminal domain;Mevalonate/galactokinase;GHMP kinase, C-terminal domain;Galactokinase, N-terminal  domain;Ribosomal protein S5 domain 2-type fold;GHMP kinase, C-terminal domain superfamily",532,1599,galactokinase,negative regulation of capsule organization;negative regulation of melanin biosynthetic process,N/A,N/A,carbohydrate phosphorylation;galactose metabolic process,"ATP binding;galactokinase activity;kinase activity;phosphotransferase activity, alcohol group as acceptor",cytoplasm
CNAG_00860,207,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,811,339..1,813,426(+)",hypothetical protein,protein coding gene,CNAG_00860,N/A,N/A,567,1704,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01232,208,Cryptococcus neoformans var. grubii H99,"CP003824.1:864,551..869,857(+)","calcium-translocating P-type ATPase, PMCA-type",protein coding gene,CNAG_01232,IPR001757;IPR004014;IPR006068;IPR006408;IPR008250;IPR018303;IPR023298;IPR023299;IPR036412,"P-type ATPase;Cation-transporting P-type ATPase, N-terminal;Cation-transporting P-type ATPase, C-terminal;P-type ATPase, subfamily IIB;P-type ATPase, A domain superfamily;P-type ATPase, phosphorylation site;P-type ATPase, transmembrane domain superfamily;P-type ATPase, cytoplasmic domain N;HAD-like superfamily",1414,4245,"calcium-translocating P-type ATPase, PMCA-type",calcium ion import into vacuole;capsule organization;response to cadmium ion;response to calcium ion,P-type calcium transporter activity,N/A,calcium ion transmembrane transport,ATP binding;P-type calcium transporter activity;nucleotide binding,integral component of membrane;membrane
CNAG_01751,209,Cryptococcus neoformans var. grubii H99,"CP003830.1:792,223..793,256(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_01751,N/A,N/A,100,303,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_07693,210,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,317,349..1,320,364(+)","high-affinity methionine permease, variant, high-affinity methionine permease",protein coding gene,CNAG_07693,IPR002293,Amino acid/polyamine transporter I,605,1818,high-affinity methionine permease,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_01493,211,Cryptococcus neoformans var. grubii H99,"CP003830.1:102,688..103,768(-)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_01493,N/A,N/A,112,339,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07862,212,Cryptococcus neoformans var. grubii H99,"CP003829.1:997,034..1,000,276(+)",fumarate reductase,protein coding gene,CNAG_07862,IPR001199;IPR003953;IPR010960;IPR018506;IPR027477;IPR036188;IPR036400,"Cytochrome b5-like heme/steroid binding domain;FAD-dependent oxidoreductase 2, FAD binding domain;Flavocytochrome c;Cytochrome b5, heme-binding site;Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain superfamily;FAD/NAD(P)-binding domain superfamily;Cytochrome b5-like heme/steroid binding domain superfamily",637,1914,fumarate reductase,N/A,N/A,N/A,obsolete oxidation-reduction process,heme binding;metal ion binding;succinate dehydrogenase activity,N/A
CNAG_05005,213,Cryptococcus neoformans var. grubii H99,"CP003823.1:203,297..207,957(-)",ULK/ULK protein kinase,protein coding gene,CNAG_05005,IPR000719;IPR008271;IPR011009;IPR017441;IPR022708,"Protein kinase domain;Serine/threonine-protein kinase, active site;Protein kinase-like domain superfamily;Protein kinase, ATP binding site;Serine/threonine-protein kinase, C-terminal",988,2967,ULK/ULK protein kinase,positive regulation of capsule organization,N/A,N/A,autophagy;protein phosphorylation;protein transport,ATP binding;protein kinase activity;protein serine/threonine kinase activity,phagophore assembly site membrane
CNAG_05818,214,Cryptococcus neoformans var. grubii H99,"CP003826.1:951,981..958,757(-)",Chitin synthase,protein coding gene,CNAG_05818,IPR001199;IPR001609;IPR004835;IPR014876;IPR027417;IPR029044;IPR036037;IPR036400,"Cytochrome b5-like heme/steroid binding domain;Myosin head, motor domain;Chitin synthase;DEK, C-terminal;P-loop containing nucleoside triphosphate hydrolase;Nucleotide-diphospho-sugar transferases;Class XVII myosin, motor domain;Cytochrome b5-like heme/steroid binding domain superfamily",1931,5796,Chitin synthase,cellular response to heat,N/A,N/A,N/A,ATP binding;actin binding;chitin synthase activity;cytoskeletal motor activity;hexosyltransferase activity,integral component of membrane;myosin complex
CNAG_01542,215,Cryptococcus neoformans var. grubii H99,"CP003830.1:241,633..243,472(-)",taurine catabolism dioxygenase TauD,protein coding gene,CNAG_01542,IPR003819,TauD/TfdA-like domain,448,1347,taurine catabolism dioxygenase TauD,N/A,N/A,N/A,obsolete oxidation-reduction process,dioxygenase activity;oxidoreductase activity,N/A
CNAG_01668,216,Cryptococcus neoformans var. grubii H99,"CP003830.1:560,670..562,761(-)",hypothetical protein,protein coding gene,CNAG_01668,N/A,N/A,299,900,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_00863,217,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,800,597..1,802,827(+)",Flavin-containing monooxygenase,protein coding gene,CNAG_00863,IPR036188,FAD/NAD(P)-binding domain superfamily,647,1944,Flavin-containing monooxygenase,N/A,N/A,N/A,N/A,monooxygenase activity,N/A
CNAG_06771,218,Cryptococcus neoformans var. grubii H99,"CP003821.1:79,455..81,344(+)",hypothetical protein,protein coding gene,CNAG_06771,N/A,N/A,431,1296,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02865,219,Cryptococcus neoformans var. grubii H99,"CP003822.1:578,089..579,576(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_02865,N/A,N/A,241,726,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01994,220,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,481,897..1,485,765(-)",hypothetical protein,protein coding gene,CNAG_01994,N/A,N/A,1006,3021,hypothetical protein,N/A,N/A,N/A,N/A,protein binding,N/A
CNAG_05872,221,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,088,032..1,090,577(-)",endopeptidase,protein coding gene,CNAG_05872,IPR001461;IPR021109;IPR033121;IPR034164,Aspartic peptidase A1 family;Aspartic peptidase domain superfamily;Peptidase family A1 domain;Pepsin-like domain,489,1470,endopeptidase,N/A,N/A,N/A,proteolysis,aspartic-type endopeptidase activity,N/A
CNAG_06614,222,Cryptococcus neoformans var. grubii H99,"CP003826.1:282,722..285,366(+)",glycerophosphodiesterase,protein coding gene,CNAG_06614,IPR017946;IPR030395,"PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily;Glycerophosphodiester phosphodiesterase domain",373,1122,glycerophosphodiesterase,N/A,N/A,N/A,lipid metabolic process,phosphoric diester hydrolase activity,N/A
CNAG_07784,223,Cryptococcus neoformans var. grubii H99,"CP003828.1:1,159,668..1,160,299(-)",hypothetical protein,protein coding gene,CNAG_07784,N/A,N/A,173,522,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03087,224,Cryptococcus neoformans var. grubii H99,"CP003827.1:19,012..21,263(-)",Maltose permease,protein coding gene,CNAG_03087,IPR003663;IPR005828;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;MFS transporter superfamily",534,1605,Maltose permease,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_03227,225,Cryptococcus neoformans var. grubii H99,"CP003827.1:392,072..393,410(-)",hypothetical protein,protein coding gene,CNAG_03227,IPR007290,Arv1 protein,313,942,hypothetical protein,cellular response to heat,N/A,N/A,intracellular sterol transport;lipid metabolic process,N/A,endoplasmic reticulum membrane;integral component of membrane
CNAG_04589,226,Cryptococcus neoformans var. grubii H99,"CP003829.1:946,089..948,098(+)",hypothetical protein,protein coding gene,CNAG_04589,N/A,N/A,436,1311,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05358,227,Cryptococcus neoformans var. grubii H99,"CP003833.2:85,312..87,915(+)",hypothetical protein,protein coding gene,CNAG_05358,N/A,N/A,361,1086,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04963,228,Cryptococcus neoformans var. grubii H99,"CP003823.1:93,083..95,539(+)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_04963,IPR017853;IPR024655,"Glycoside hydrolase superfamily;Uncharacterised protein family, glycosyl hydrolase catalytic domain",443,1332,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_08005,229,Cryptococcus neoformans var. grubii H99,"CP003830.1:664,521..665,190(+)",hypothetical protein,protein coding gene,CNAG_08005,N/A,N/A,100,303,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04911,230,Cryptococcus neoformans var. grubii H99,"CP003829.1:42,952..46,384(-)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_04911,IPR010640,Low temperature requirement A,550,1653,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,integral component of membrane
